sample_id,category,dice,precision,recall,gt_pixels,pred_pixels,overlay
118d63ecb0728c8d,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__118d63ecb0728c8d.jpg
1192439045d9b7a4,false_positive,0.002415,0.002415,1.0,0,413,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__1192439045d9b7a4.jpg
146a1d096a65c95c,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__146a1d096a65c95c.jpg
16150d0441b7e91c,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__16150d0441b7e91c.jpg
1751ce78d9ab9919,false_positive,0.00012,0.00012,1.0,0,8365,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__1751ce78d9ab9919.jpg
18429d887e6c2467,acceptable,0.500926,0.635368,0.413863,980,638,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__18429d887e6c2467.jpg
1be8e8c4ebcf6860,acceptable,0.725725,0.671623,0.789396,3375,3967,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__1be8e8c4ebcf6860.jpg
1c3d48d5b490c57b,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__1c3d48d5b490c57b.jpg
1c758087cb5b67f7,oversegmentation,0.327021,0.209497,0.75,299,1073,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\oversegmentation__1c758087cb5b67f7.jpg
1ca054c3f97481fe,false_negative,0.001842,1.0,0.001842,542,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__1ca054c3f97481fe.jpg
1df7baa85937126f,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__1df7baa85937126f.jpg
1eee287a9ac59db2,false_negative,0.000152,1.0,0.000152,6592,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__1eee287a9ac59db2.jpg
1f4a4652c42742f6,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__1f4a4652c42742f6.jpg
1fc282e285f4e310,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__1fc282e285f4e310.jpg
20c67f87dc6e3faa,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__20c67f87dc6e3faa.jpg
2338ad3fc0e9f8ee,acceptable,0.708712,0.748599,0.672887,10717,9633,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__2338ad3fc0e9f8ee.jpg
284fa3ec41184697,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__284fa3ec41184697.jpg
28c245bcaecfa35c,false_negative,0.000201,1.0,0.000201,4963,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__28c245bcaecfa35c.jpg
2b66fc01e0d1d87d,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__2b66fc01e0d1d87d.jpg
2d6df0832b4f8bdc,acceptable,0.656924,0.574069,0.767765,11285,15093,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__2d6df0832b4f8bdc.jpg
2fdbf46781f230c3,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__2fdbf46781f230c3.jpg
30e8b5c431e0adb9,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__30e8b5c431e0adb9.jpg
30f713d6bd6ea1c6,acceptable,0.813367,0.902432,0.740307,45314,37173,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__30f713d6bd6ea1c6.jpg
31dfefce061a08c4,false_negative,0.001681,1.0,0.001681,594,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__31dfefce061a08c4.jpg
35f037b171da6eec,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__35f037b171da6eec.jpg
379bb92cd9b9b7b4,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__379bb92cd9b9b7b4.jpg
3962fe1eb2d17514,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__3962fe1eb2d17514.jpg
3aed0ac990ee0245,false_positive,6.6e-05,6.6e-05,1.0,0,15097,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__3aed0ac990ee0245.jpg
3d02f9afe6459d49,oversegmentation,0.035152,0.018406,0.422492,328,7551,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\oversegmentation__3d02f9afe6459d49.jpg
3d5e6daba8f9cf9f,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__3d5e6daba8f9cf9f.jpg
3dc24a2468d02f26,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__3dc24a2468d02f26.jpg
3eb8ea747efc1265,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__3eb8ea747efc1265.jpg
3ed669083961ac43,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__3ed669083961ac43.jpg
4132649e5162eb55,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__4132649e5162eb55.jpg
42c0e1aacef1e068,acceptable,0.704957,0.560022,0.951123,22218,37735,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__42c0e1aacef1e068.jpg
4369b88e5ed80ff8,acceptable,0.79126,0.741015,0.848837,9545,10934,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__4369b88e5ed80ff8.jpg
43f569bda9fadf2d,acceptable,0.550542,0.381279,0.990325,3203,8321,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__43f569bda9fadf2d.jpg
444c09fa34f99766,acceptable,0.477804,0.321016,0.934361,2528,7360,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__444c09fa34f99766.jpg
467648a935adbdee,false_negative,0.000158,1.0,0.000158,6319,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_negative__467648a935adbdee.jpg
48cb38c42a29148f,severe_undersegmentation,0.112479,0.071227,0.272973,369,1417,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\severe_undersegmentation__48cb38c42a29148f.jpg
492eacff71419fc5,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__492eacff71419fc5.jpg
4c2fb956085a3d28,false_positive,7e-05,7e-05,1.0,0,14377,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__4c2fb956085a3d28.jpg
4dce01ea74d46050,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__4dce01ea74d46050.jpg
4f69016ee86e528e,acceptable,0.532986,0.774443,0.406362,6412,3364,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__4f69016ee86e528e.jpg
4fd890050657dbd9,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__4fd890050657dbd9.jpg
515f7da098f40ec8,oversegmentation,0.064865,0.033971,0.738562,458,9978,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\oversegmentation__515f7da098f40ec8.jpg
5372644fb4168031,acceptable,0.436453,0.322674,0.676829,327,687,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\acceptable__5372644fb4168031.jpg
55eb2c5a8053ab36,false_positive,0.000117,0.000117,1.0,0,8515,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__55eb2c5a8053ab36.jpg
56b6973a123a9861,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__56b6973a123a9861.jpg
5768a68f298ce2f4,false_positive,0.00189,0.00189,1.0,0,528,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\false_positive__5768a68f298ce2f4.jpg
5796e967b707568c,negative_clean,1.0,1.0,1.0,0,0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\v2_error_analysis\overlays\negative_clean__5796e967b707568c.jpg
